Model,Scenario,Variable,File Count
MPI-ESM1-2-HR,ssp245,rsds,86
MPI-ESM1-2-HR,ssp245,sfcWind,86
MPI-ESM1-2-HR,ssp370,pr,0
MPI-ESM1-2-HR,ssp370,tas,0
MPI-ESM1-2-HR,ssp370,rsds,86
MPI-ESM1-2-HR,ssp370,sfcWind,86
MPI-ESM1-2-HR,ssp585,pr,0
MPI-ESM1-2-HR,ssp585,tas,0
MPI-ESM1-2-HR,ssp585,rsds,86
MPI-ESM1-2-HR,ssp585,sfcWind,86
MRI-ESM2-0,ssp245,pr,0
MRI-ESM2-0,ssp245,tas,0
MRI-ESM2-0,ssp245,rsds,86
MRI-ESM2-0,ssp245,sfcWind,86
MRI-ESM2-0,ssp370,pr,0
MRI-ESM2-0,ssp370,tas,0
MRI-ESM2-0,ssp370,rsds,86
MRI-ESM2-0,ssp370,sfcWind,86
MRI-ESM2-0,ssp585,pr,0
MRI-ESM2-0,ssp585,tas,0
MRI-ESM2-0,ssp585,rsds,86
MRI-ESM2-0,ssp585,sfcWind,86
NorESM2-MM,ssp245,pr,0
NorESM2-MM,ssp245,tas,0
NorESM2-MM,ssp245,rsds,86
NorESM2-MM,ssp245,sfcWind,86
NorESM2-MM,ssp370,pr,0
NorESM2-MM,ssp370,tas,0
NorESM2-MM,ssp370,rsds,86
NorESM2-MM,ssp370,sfcWind,86
NorESM2-MM,ssp585,pr,0
NorESM2-MM,ssp585,tas,0
NorESM2-MM,ssp585,rsds,86
NorESM2-MM,ssp585,sfcWind,86
UKESM1-0-LL,ssp245,pr,0
UKESM1-0-LL,ssp245,tas,0
UKESM1-0-LL,ssp245,rsds,86
UKESM1-0-LL,ssp245,sfcWind,86
UKESM1-0-LL,ssp370,pr,0
UKESM1-0-LL,ssp370,tas,0
UKESM1-0-LL,ssp370,rsds,86
UKESM1-0-LL,ssp370,sfcWind,86
UKESM1-0-LL,ssp585,pr,0
UKESM1-0-LL,ssp585,tas,0
UKESM1-0-LL,ssp585,rsds,86
UKESM1-0-LL,ssp585,sfcWind,86
TaiESM1,ssp245,pr,0
TaiESM1,ssp245,tas,0
TaiESM1,ssp245,rsds,86
TaiESM1,ssp245,sfcWind,86
TaiESM1,ssp370,pr,0
TaiESM1,ssp370,tas,0
TaiESM1,ssp370,rsds,86
TaiESM1,ssp370,sfcWind,86
TaiESM1,ssp585,pr,0
TaiESM1,ssp585,tas,0
TaiESM1,ssp585,rsds,86
TaiESM1,ssp585,sfcWind,86
